"init_block complete"
"12:26:14.650   LOG INFO :: This process is a : RDB2"
"12:26:14.650   LOG INFO :: Finished importing libraries"
"12:26:14.650   LOG INFO :: Connecting to BASE process"
"12:26:14.650   LOG INFO :: Connecting to BASE process"
"12:26:14.651   LOG INFO :: completed command on handle : 5"
,`aggtbl
"12:26:14.652   LOG INFO :: Subscribing to TP tables"
"12:26:14.652   LOG INFO :: Finished Subscribing to TP tables"
"12:27:14.653   LOG INFO :: Update for the aggtbl  table"
"12:28:14.752   LOG INFO :: Update for the aggtbl  table"
"12:29:14.753   LOG INFO :: Update for the aggtbl  table"
"12:30:14.853   LOG INFO :: Update for the aggtbl  table"
"12:31:14.953   LOG INFO :: Update for the aggtbl  table"
"12:32:15.053   LOG INFO :: Update for the aggtbl  table"
"12:33:15.153   LOG INFO :: Update for the aggtbl  table"
"12:34:15.253   LOG INFO :: Update for the aggtbl  table"
"12:35:15.353   LOG INFO :: Update for the aggtbl  table"
"12:36:15.452   LOG INFO :: Update for the aggtbl  table"
