"init_block complete"
"07:39:44.169   LOG INFO :: This process is a : RDB2"
"07:39:44.170   LOG INFO :: Finished importing libraries"
"07:39:44.170   LOG INFO :: Connecting to BASE process"
"07:39:44.170   LOG INFO :: Connecting to BASE process"
"07:39:44.170   LOG INFO :: completed command on connection : BASE"
"07:39:44.171   LOG INFO :: This RDB is for tables :aggtbl"
"07:39:44.171   LOG INFO :: Subscribing to TP tables"
"07:39:44.171   LOG INFO :: Finished Subscribing to TP tables"
"07:39:44.172   LOG INFO :: Replaying log file :: :/home/cwright/advanced/logging/txn/TP_2019.11.30.log"
"07:39:44.172   LOG INFO :: Completed log replay"
"07:39:44.172   LOG INFO :: Setting timere"
"07:39:51.654   LOG INFO :: Removed client from pub tbl : CEP"
