"init_block complete"
"07:40:46.154   LOG INFO :: This process is a : TP"
"07:40:46.155   LOG INFO :: Finished importing libraries"
"07:40:46.155   LOG INFO :: Setting log file path"
"07:40:46.155   LOG INFO :: Opening handle to log file"
"07:40:46.155   LOG INFO :: Successfully connected to log file"
"07:40:46.155   LOG INFO :: Connecting to BASE process"
"07:40:46.156   LOG INFO :: TP set up complete"
"07:40:46.156   LOG INFO :: Removed client from pub tbl : "
"07:40:47.160   LOG INFO :: New subscription successful"
"07:40:47.160   LOG INFO :: New subscription successful"
"07:40:47.160   LOG INFO :: Added connection from SVC : RDB1"
"07:40:48.163   LOG INFO :: New subscription successful"
"07:40:48.163   LOG INFO :: New subscription successful"
"07:40:48.163   LOG INFO :: Added connection from SVC : CEP"
"07:40:49.168   LOG INFO :: New subscription successful"
"07:40:49.168   LOG INFO :: Added connection from SVC : RDB2"
"07:41:46.156   LOG INFO :: Updates for the trade table recieved so far today : 55"
"07:41:46.156   LOG INFO :: Updates for the quote table recieved so far today : 140"
"07:42:16.493   LOG INFO :: Removed client from pub tbl : BASE"
./start_tp.sh: line 12: 28146 Killed                  q tp.q -instance 1 -logfile $logfile -p $tp_port -svc $tpsvc -c 2001 2001 -q
